"","Year","Area","Street","Street.2"
"166",2011,"Birmingham"," Ringì Rd."," ring road  stourbridge"
"167",2011,"Birmingham"," Sainsburys Ì Wawrickì Rd."," sainsburys  wawrick road"
"168",2011,"Birmingham","Sainsburys Ì Alcesterì Rd.","sainsburys  alcester road south"
"169",2011,"Birmingham","Sandfordì Rd.","Sandford Road Moseley"
"170",2011,"Birmingham","Sareholeì Mill","Sarehole Mill"
"171",2011,"Birmingham","Sedgemereì Rd.","Sedgemere Road"
"172",2011,"Birmingham","Shirleyì Rd.","Shirley Road"
"173",2011,"Birmingham","Shirleyì Rd.","SHirley Road"
"174",2011,"Birmingham","Snowì Hill","Snow Hill"
"175",2011,"Birmingham","Solihullì Ln.","Solihull Lane"
"176",2011,"Birmingham"," Str."," St Mary s Road  Moseley"
"177",2011,"Birmingham","Str.","St Marys Row"
"178",2011,"Birmingham","Str.","station road"
"179",2011,"Birmingham"," Str."," Station Way  Birmingham International rail Station"
"180",2011,"Birmingham","Str.","Stechford front office"
"181",2011,"Birmingham","Str.","Stechford P S "
"182",2011,"Birmingham","Str.","Stechford Retail Park "
"183",2011,"Birmingham","Str.","Stonehenge croft Druids heath"
"184",2011,"Birmingham","Str.","Stoney Lane"
"185",2011,"Birmingham","Str.","Stoney Lane"
"186",2011,"Birmingham","Str.","stoney lane"
"187",2011,"Birmingham"," Str."," STRATFORD HEATH  SPARK HILL  BIRMINGHAM"
"188",2011,"Birmingham","Str.","stratford road"
"189",2011,"Birmingham","Str.","Stratford road"
"190",2011,"Birmingham","Str.","Stratford Road"
"191",2011,"Birmingham"," Str."," stratford road  hall green"
"192",2011,"Birmingham","Str.","stratford roads"
"193",2011,"Birmingham"," Str."," Stuart Road  Stechford"
"194",2011,"Birmingham","Talbortì Str.","talbort street"
"195",2011,"Birmingham","Tauntonì Rd.","Taunton Road"
"196",2011,"Birmingham","Tavistockì Rd.","Tavistock road"
"197",2011,"Birmingham","Theì Ave.","The avenue"
"198",2011,"Birmingham","Theì Paerì Treeì Pub","The paer tree pub"
"199",2011,"Birmingham","Trafalgerì Rd.","Trafalger Road"
"200",2011,"Birmingham","Wakeì Greenì Rd.","Wake green Road"
"201",2011,"Birmingham","Wardì Endì Rd.","Ward End Road"
"202",2011,"Birmingham","Warwickì Rd.","Warwick Road"
